id_zone;INSEE_C;LIBGEO;EPCI;DEP;REG;loypredm2;lwr.IPm2;upr.IPm2;TYPPRED;nbobs_com;nbobs_mail;R2_adj;Type_de_logement
2445;94022;Choisy-le-Roi;200054781;94;11;20,95282491;17,21599763;25,50075116;commune;3536;3536;0,851062804;Appartement
1842;94022;Choisy-le-Roi;200054781;94;11;23,10181628;19,3333018;27,60490273;commune;2252;2252;0,705491074;Appartement
1822;94022;Choisy-le-Roi;200054781;94;11;18,76852131;12,99871017;27,09941122;maille;92;683;0,779578864;Maison
1956;94022;Choisy-le-Roi;200054781;94;11;21,31129317;16,75108746;27,11293925;commune;1291;1291;0,686183691;Appartement
1599;91613;Congerville-Thionville;200017846;91;11;12,15255251;10,26924615;14,3812438;maille;1;533;0,793296688;Appartement
313;91613;Congerville-Thionville;200017846;91;11;15,35765608;13,33064339;17,69288948;maille;1;1412;0,763691436;Appartement
415;91613;Congerville-Thionville;200017846;91;11;10,91126534;8,844429258;13,461096;maille;0;479;0,803393341;Maison
1006;91613;Congerville-Thionville;200017846;91;11;11,82033999;10,1036828;13,82866429;maille;0;746;0,737213936;Appartement
2223;91174;Corbeil-Essonnes;200059228;91;11;15,79889252;13,08419728;19,07682982;commune;6738;6754;0,821593527;Appartement
1871;91174;Corbeil-Essonnes;200059228;91;11;18,46111674;15,24243129;22,3594796;commune;4824;4925;0,68377185;Appartement
1178;91174;Corbeil-Essonnes;200059228;91;11;14,62096337;11,70509464;18,2632073;commune;263;962;0,852504146;Maison
867;91174;Corbeil-Essonnes;200059228;91;11;14,19087694;11,92909791;16,88149346;commune;1915;2133;0,639888434;Appartement
1090;91175;Corbreuse;249100595;91;11;11,96515599;10,30002398;13,89947811;maille;70;1827;0,881840462;Appartement
313;91175;Corbreuse;249100595;91;11;15,35765608;13,33064339;17,69288948;maille;32;1412;0,763691436;Appartement
762;91175;Corbreuse;249100595;91;11;12,26852229;9,484494229;15,86975916;maille;42;943;0,841968679;Maison
1006;91175;Corbreuse;249100595;91;11;11,82033999;10,1036828;13,82866429;maille;39;746;0,737213936;Appartement
1418;91180;Courances;249100157;91;11;14,52058479;12,02226339;17,53807712;maille;6;731;0,867394343;Appartement
883;91180;Courances;249100157;91;11;17,88217783;14,48911503;22,0698285;maille;1;3659;0,733522767;Appartement
543;91180;Courances;249100157;91;11;14,28230469;11,20832558;18,19934883;maille;18;497;0,833467966;Maison
981;91180;Courances;249100157;91;11;13,61879644;11,78648323;15,73595896;maille;6;1185;0,72070123;Appartement
2175;91184;Courdimanche-sur-Essonne;249100157;91;11;17,52110892;14,90625561;20,59465945;maille;3;652;0,852704323;Appartement
1046;91184;Courdimanche-sur-Essonne;249100157;91;11;17,08817676;14,77688025;19,76099014;maille;2;499;0,809717144;Appartement
528;91184;Courdimanche-sur-Essonne;249100157;91;11;11,14228634;8,602514668;14,43188994;maille;1;485;0,778702316;Maison
451;91184;Courdimanche-sur-Essonne;249100157;91;11;12,91197423;10,69761728;15,58469275;maille;1;481;0,708013712;Appartement
1178;91186;Courson-Monteloup;249100074;91;11;14,85908564;12,80132983;17,24761637;maille;15;742;0,876879642;Appartement
785;91186;Courson-Monteloup;249100074;91;11;19,32431022;16,75975262;22,28129341;maille;9;502;0,851858835;Appartement
507;91186;Courson-Monteloup;249100074;91;11;13,72093918;11,2207394;16,77823228;maille;0;704;0,88106881;Maison
1134;91186;Courson-Monteloup;249100074;91;11;12,63443014;10,78071077;14,80689245;maille;6;554;0,652888325;Appartement
2902;94028;Creteil;200054781;94;11;20,26041233;14,97116093;27,41833514;commune;7614;7614;0,725367918;Appartement
1916;94028;Creteil;200054781;94;11;23,80804468;17,78739001;31,86656341;commune;4712;5067;0,466168759;Appartement
2242;94028;Creteil;200054781;94;11;19,51657921;13,36666115;28,4960365;commune;129;506;0,800356786;Maison
2139;94028;Creteil;200054781;94;11;18,75969799;14,19552416;24,79135429;commune;2861;3079;0,494538418;Appartement
3039;91191;Crosne;200058477;91;11;18,03411155;15,54223575;20,92550804;commune;953;953;0,893496721;Appartement
1653;91191;Crosne;200058477;91;11;20,64577337;17,93599719;23,7649434;commune;490;490;0,812984129;Appartement
1242;91191;Crosne;200058477;91;11;16,55159686;13,09814485;20,91558475;maille;53;586;0,872017872;Maison
2014;91191;Crosne;200058477;91;11;16,17510266;13,46247738;19,43430905;commune;473;589;0,56826636;Appartement
1666;91195;Dannemois;249100157;91;11;14,39817773;12,29800409;16,85700544;maille;82;475;0,898113082;Appartement
1046;91195;Dannemois;249100157;91;11;17,08817676;14,77688025;19,76099014;maille;80;499;0,809717144;Appartement
1301;91195;Dannemois;249100157;91;11;14,29254496;11,4384061;17,85885549;maille;18;533;0,835686124;Maison
1682;91195;Dannemois;249100157;91;11;13,03984303;11,5223428;14,75719906;maille;3;497;0,721112877;Appartement
